,VARIETY,BOTANICAL_NAME,PRONUNCIATION,ALIASES,DESCRIPTION,ZONE,MIN_TEMP,DIFFICULTY,HEIGHT,SPREAD,GROWTH_RATE,COMPANION_PLANTS,BLOOMING_FRUITING,SUMMER_FOLIAGE,FALL_FOLIAGE,FLOWER_COLOR,USES_CHARACTERISTICS,PRICE,DEER_RESISTANT,DROUGHT_TOLERANT,ATTRACTS_POLLINATORS,GROUND_COVER,OTHER
159,Hillside Black Beauty Cimicifuga,Cimicifuga ramosa,,Bugbane; Black Snakeroot,"This is an exceptionally good selection, perhaps the blackest form to date. Arching wands or spikes of fragrant pale-pink flowers rise above the clump of lacy foliage in early fall.",3,-40°,,48-84”,36-48”,,,Summer - frost,,,,Deer Resistant; Attracts Butterflies; Plants will take about three years to develop into a mature clump.,14,,,,,
160,Violet Stardust Bush Clematis,Clematis,,,"This broad leaved hybrid is a cross between two species, giving it a unique look and performance. The clump is covered with a profusion of small 1.5 inches, blue violet, star-shaped nodding flowers. The centers of the flowers have creamy white anthers that contrast beautifully with the petals. This non-vining Clematis, will benefit from support",3,-40°,,24-26”,24-26”,,,Summer,,,,Deer Resistant; Attracts Butterflies,15,,,,,
161,Lily of the Valley,Convallaria majalis,,,"It is fragrant and produces a stem of showy white tiny bells. All parts of this plant are very poisonous. This is a long-lived plant which naturalizes easily in woodland areas. Flowering may decrease over time, at which point dividing the plants may become appropriate.",3,-40°,,6-8”,8-12”,,,Summer,,,,Deer Resistant; Ground cover; INVASIVE,4.5,,,,,
162,Nana Mouse Ears,Coreopsis auriculata,,Tickseed,"This is a dwarf plant with a dense, bushy clumping habit. Slow spreading. Good for borders, edgings and can be used as a Ground cover. Non-evasive but less drought tolerant than most Coreopsis.",4,-30°,,6-12”,9-12”,,,Summer,,,,Deer Resistant; Attracts Butterflies;,4.5,,,,,
163,Double The Sun,Coreopsis grandiflora,,Tickseed,"Considered to be one of the best wildflowers available for the garden. They re easy to grow and have bright daisy-like flowers with a long bloom period. Bloom time is late spring through the fall. Most are very drought tolerant and do well in, poor dry soils.",4,-30°,,12-14”,12-14”,,,Summer,,,,Deer Resistant; Attracts Butterflies; Drought tolerant when established,8,,,,,
164,Presto,Coreopsis grandiflora,,Tickseed,"This Coreopsis has the unique combination of a dwarf habit and large flowers. From early through late summer golden yellow, semi-double to double flowers are",4,-30°,,6-12”,6-8”,,,Summer,,,,Deer Resistant; Attracts Butterflies; Drought tolerant when established,4.5,,,,,
165,Sunkiss,Coreopsis grandiflora,,Tickseed,"Considered to be one of the best wildflowers available for the garden. They re easy to grow and have bright daisy-like flowers with a long bloom period. Bloom time is late spring through the fall. Most are very drought tolerant and do well in, poor dry soils.",4,-30°,,12-14”,14-16”,,,Summer,,,,Deer Resistant; Attracts Butterflies; Drought tolerant when established,4.5,,,,,
166,Moonbeam,Coreopsis verticillata,,Tickseed,"This classic perennial is an excellent performer with bright lemon-yellow flowers produced in profusion from early through late summer. The airy clumps of fine, needle-like foliage on upright stems add a nice fine texture element to the landscape.",4,-30°,,12-18”,14-18”,,,Summer,,,,Deer Resistant; Attracts Butterflies,8,,,,,
167,Goldy,Creeping Jenny,,,"These plants range from a ground cover to tall border varieties. Most spread fairly quickly.Golden Creeping Jenny is much more restrained in habit than the more common green type. Plants form a low mat of butter-yellow leaves, bearing bright golden-yellow flowers. Excellent in pots and tubs, or cascading over walls.",2,-50°,,2-4”,12-24”,,,Late Spring-frost,,,,Ground cover; Attracts Butterflies; Containers; Hanging baskets,0,,,,,
168,Green,Creeping Jenny,,,These plants range from a ground cover to tall border varieties. Most spread fairly quickly.Trailing habit. Dark green foliage with yellow flowers.,2,-50°,,2-4”,36-40”,,,Late Spring-frost,,,,Border; Ground cover; Attracts Butterflies; Containers; Hanging baskets; Rabbit resistant; Evergreen; Waterside,0,,,,,
169,Jewel of the Desert Garnet Iceplant,Delosperma,,Hardy Iceplant,"The succulent, needle-like leaves have fluorescent up-facing flowers. Hot and sunny conditions keep the flowers coming most of the summer. Although quite hardy, it cannot stand excessive winter moisture, either in the soil or applied from above.",4,-30°,,2-4”,12-24”,,,summer,,,,Succulent; Deer Resistant; Attracts Butterflies; drought tolerant when established,4.5,,,,,
170,Lavender Ice Hardy Iceplant,Delosperma,,,"The succulent, needle-like leaves have fluorescent up-facing flowers. Hot and sunny conditions keep the flowers coming most of the summer. Although quite hardy, it cannot stand excessive winter moisture, either in the soil or applied from above.",4,-30°,,2-4”,12-24”,,,summer,,,,Succulent; Deer Resistant; Attracts Butterflies; drought tolerant when established,4.5,,,,,
171,Table Mountain Hardy Iceplant,Delosperma,,John Proffitt,"The succulent, needle-like leaves have fluorescent up-facing flowers. Hot and sunny conditions keep the flowers coming most of the summer. Although quite hardy, it cannot stand excessive winter moisture, either in the soil or applied from above.",4,-30°,,2-4”,12-24”,,,summer,,,,Succulent; Deer Resistant; Attracts Butterflies; drought tolerant when established,4.5,,,,,
172,Yellow Hardy Iceplant,Delosperma nubigenum,,,"The succulent, needle-like leaves have fluorescent up-facing flowers. Hot and sunny conditions keep the flowers coming most of the summer. Although quite hardy, it cannot stand excessive winter moisture, either in the soil or applied from above.",4,-30°,,2-4”,12-24”,,,summer,,,,Succulent; Deer Resistant; Attracts Butterflies; drought tolerant when established,4.5,,,,,
173,Dark Blue/Dark Bee Larkspur,Delphinium elatum,,,"Magic Fountains Series. Stately, elegant standard in English cottage gardens. Mounds of dark green glossy foliage have spikes of showy, spurred flowers. Blooms late spring to early summer. Great as cut flowers.",3,-40°,,24-30”,18-24”,,,Spring-summer,,,,"Deer Resistant; Attracts Butterflies, hummingbirds; Cut flower",8,,,,,
174,Dark Blue/White Bee Delphinium,Delphinium elatum,,Larkspur,"Magic Fountains Series. Stately, elegant standard in English cottage gardens. Mounds of dark green glossy foliage have spikes of showy, spurred flowers. Blooms late spring to early summer. Great as cut flowers.",3,-40°,,24-30”,18-24”,,,Spring-summer,,,,"Deer Resistant; Attracts Butterflies, hummingbirds; Cut flower",8,,,,,
175,Dark Blue/White Bee Larkspur,Delphinium elatum,,,"Delphina Series. Stately, elegant standard in English cottage gardens. Mounds of dark green glossy foliage have spikes of showy, spurred flowers. Blooms late spring to early summer. Great as cut flowers.",4,-30°,,18-20”,13-15”,,,Spring-summer,,,,"Deer Resistant; Attracts Butterflies, hummingbirds; Cut flower",8,,,,,
176,Delphina Series Light Blue/White Bee Delphinium,Delphinium elatum,,Larkspur,"Stately, elegant standard in English cottage gardens. Mounds of dark green glossy foliage have spikes of showy, spurred flowers. Blooms late spring to early summer. Great as cut flowers.",4,-30°,,18-20”,14-18”,,,Spring-summer,,,,"Deer Resistant; Attracts Butterflies, hummingbirds; Cut flower",8,,,,,
177,Delphina Series Rose/White Bee,Delphinium elatum,,Larkspur,"Stately, elegant standard in English cottage gardens. Mounds of dark green glossy foliage have spikes of showy, spurred flowers. Blooms late spring to early summer. Great as cut flowers.",4,-30°,,18-20”,14-18”,,,Spring-summer,,,,"Deer Resistant; Attracts Butterflies, hummingbirds; Cut flower",8,,,,,
178,Magic Fountains Series Mix,Delphinium elatum,,Larkspur,"Stately, elegant standard in English cottage gardens. Mounds of dark green glossy foliage have spikes of showy, spurred flowers. Blooms late spring to early summer. Great as cut flowers.",3,-40°,,24-30”,18-24”,,,Spring-summer,,,,"Deer Resistant; Attracts Butterflies, hummingbirds; Cut flower",15,,,,,
179,Magic Fountains Series Sky Blue/White Bee Delphinium,Delphinium elatum,,Larkspur,"Stately, elegant standard in English cottage gardens. Mounds of dark green glossy foliage have spikes of showy, spurred flowers. Blooms late spring to early summer. Great as cut flowers.",3,-40°,,24-30”,18-24”,,,Spring-summer,,,,"Deer Resistant; Attracts Butterflies, hummingbirds; Cut flower",8,,,,,
180,Pacific Giants Series Mix,Delphinium elatum,,Larkspur,"Stately, elegant standard in English cottage gardens. Mounds of dark green glossy foliage have spikes of showy, spurred flowers. Blooms late spring to early summer. Great as cut flowers.",3,-40°,,48-72”,18-24”,,,Spring-summer,,,,"Deer Resistant; Attracts Butterflies, hummingbirds; Cut flower",15,,,,,
181,Dark Blue/Black Bee Larkspur,Delphinium elatum Delphina Series,,,"Stately, elegant standard in English cottage gardens. Mounds of dark green glossy foliage have spikes of showy, spurred flowers. Blooms late spring to early summer. Great as cut flowers.",4,-30°,,14-18”,6-10”,,,Spring-summer,,,,"Deer Resistant; Attracts Butterflies, hummingbirds; Cut flower",8,,,,,
182,Dark Blue/Black Bee Larkspur,Delphinium elatum Delphina Series,,,"Stately, elegant standard in English cottage gardens. Mounds of dark green glossy foliage have spikes of showy, spurred flowers. Blooms late spring to early summer. Great as cut flowers.",4,-30°,,14-18”,6-10”,,,Spring-summer,,,,"Deer Resistant; Attracts Butterflies, hummingbirds; Cut flower",4.5,,,,,
183,Bolero Larkspur,Delphinium elatum Highlander Series,,,"Stately, elegant standard in English cottage gardens. Mounds of dark green glossy foliage have spikes of showy, spurred flowers. Blooms late spring to early summer. Great as cut flowers.",3,-40°,,24-48”,12-24”,,,Spring-summer,,,,"Deer Resistant; Attracts Butterflies, hummingbirds; Cut flower",8,,,,,
184,Blue Mirror Larkspur,Delphinium grandiflorum,,,"Stately, elegant standard in English cottage gardens. Mounds of dark green glossy foliage have spikes of showy, spurred flowers. Blooms late spring to early summer. Great as cut flowers.",3,-40°,,12-18”,10-12”,,,Spring-summer,,,,"Deer Resistant; Attracts Butterflies, hummingbirds; Cut flower",4.5,,,,,
185,Hunky Dory Blue,Delphinium grandiflorum,,Larkspur,"Stately, elegant standard in English cottage gardens. Mounds of dark green glossy foliage have spikes of showy, spurred flowers. Blooms late spring to early summer. Great as cut flowers.",4,-30°,,8-12”,24-36”,,,Spring-summer,,,,"Deer Resistant; Attracts Butterflies, hummingbirds; Cut flower",4.5,,,,,
186,Summer Series Morning Larkspur,Delphinium grandiflorum,,,"Stately, elegant standard in English cottage gardens. Mounds of dark green glossy foliage have spikes of showy, spurred flowers. Blooms late spring to early summer. Great as cut flowers.",3,-40°,,10-12”,10-12”,,,Spring-summer,,,,"Deer Resistant; Attracts Butterflies, hummingbirds; Cut flower",4.5,,,,,
187,Summer Series Nights Delphinium,Delphinium grandiflorum,,Larkspur,"Stately, elegant standard in English cottage gardens. Mounds of dark green glossy foliage have spikes of showy, spurred flowers. Blooms late spring to early summer. Great as cut flowers.",3,-40°,,10-12”,10-12”,,,Spring-summer,,,,"Deer Resistant; Attracts Butterflies, hummingbirds; Cut flower",4.5,,,,,
188,Laurin (Redcap) Delphinium,Delphinium nudicaule,,Larkspur,"Stately, elegant standard in English cottage gardens. Mounds of dark green glossy foliage have spikes of showy, spurred flowers. Blooms late spring to early summer. Great as cut flowers.",3,-40°,,12-16”,18-20”,,,Spring-summer,,,,"Deer Resistant; Attracts Butterflies, hummingbirds; Cut flower",8,,,,,
189,Beauties Series Annabelle Dianthus,Dianthus,,Gisele; Pinks,Evergreen plants. Many are fragrant with gray to green foliage. Blooms in late spring early summer.,4,-30°,,8-12”,8-12”,,,Spring - Summer,,,,"Attracts Butterflies, hummingbirds; Remove fading flowers to encourage more buds to form.",8,,,,,
190,Beauties Series Kate Dianthus,Dianthus,,Pinks,Evergreen plants. Many are fragrant with gray to green foliage. Blooms in late spring early summer.,3,-40°,,6-8”,8-12”,,,Spring - Summer,,,,"Attracts Butterflies, hummingbirds; Drought tolerant when established. Deadhead to prolong blooming.",8,,,,,
191,Cadence Milk Cherry Dianthus,Dianthus,,Pinks,Evergreen plants. Many are fragrant with gray to green foliage. Blooms in late spring early summer.These double flowers open white and gradually transition to a true red. Fragrant.,4,-30°,,6-8”,18-24”,,,Spring - Summer,,,,"Attracts Butterflies, hummingbirds; Drought tolerant when established. Deadhead to prolong blooming.",4.5,,,,,
192,Cadence Peach Milk Dianthus,Dianthus,,Pinks,Evergreen plants. Many are fragrant with gray to green foliage. Blooms in late spring early summer.These double flowers open white and gradually transition to a true red. Fragrant.,4,-30°,,6-8”,18-24”,,,Spring - Summer,,,,"Attracts Butterflies, hummingbirds; Drought tolerant when established. Deadhead to prolong blooming.",4.5,,,,,
193,Everlast Series Burgundy Blush Dianthus,Dianthus,,Pinks,"This exceptional hybrid strain of Dianthus is a true multi-use plant. Plants are mid-sized, with upright stems of fragrant, raspberry-pink flowers that have a contrasting bright pink, fringed edge. Blooms in spring, again in summer and once again in the fall.",4,-30°,,8-12”,10-14”,,,Spring; Summer; Fall,,,,"Attracts Butterflies, hummingbirds; Drought tolerant when established. Deadhead to prolong blooming.",8,,,,,
194,Everlast Series Dark Pink Dianthus,Dianthus,,Pinks,"This exceptional hybrid strain of Dianthus is a true multi-use plant. Plants are mid-sized, with upright stems of fragrant, raspberry-pink flowers that have a contrasting bright pink, fringed edge. Blooms in spring, again in summer and once again in the fall.",4,-30°,,8-12”,10-14”,,,Spring; Summer; Fall,,,,"Attracts Butterflies, hummingbirds; Drought tolerant when established. Deadhead to prolong blooming.",8,,,,,
195,Everlast Series Lavender Eye Dianthus,Dianthus,,Pinks,"This exceptional hybrid strain of Dianthus is a true multi-use plant. Plants are mid-sized, with upright stems of fragrant, flowers that have a contrasting bright pink, fringed edge. Blooms in spring, again in summer and once again in the fall.",4,-30°,,8-12”,10-14”,,,Spring; Summer; Fall,,,,"Attracts Butterflies, hummingbirds; Drought tolerant when established. Deadhead to prolong blooming.",8,,,,,
196,Everlast Series Lilac with Eye Dianthus,Dianthus,,Pinks,"This exceptional hybrid strain of Dianthus is a true multi-use plant. Plants are mid-sized, with upright stems of fragrant, flowers that have a contrasting bright pink, fringed edge. Blooms in spring, again in summer and once again in the fall.",4,-30°,,8-12”,10-14”,,,Spring; Summer; Fall,,,,"Attracts Butterflies, hummingbirds; Drought tolerant when established. Deadhead to prolong blooming.",8,,,,,
197,Everlast Series Orchid Dianthus,Dianthus,,Pinks,"This exceptional hybrid strain of Dianthus is a true multi-use plant. Plants are mid-sized, with upright stems of fragrant, flowers that have a contrasting bright pink, fringed edge. Blooms in spring, again in summer and once again in the fall.",4,-30°,,8-12”,10-14”,,,Spring; Summer; Fall,,,,"Attracts Butterflies, hummingbirds; Drought tolerant when established. Deadhead to prolong blooming.",8,,,,,
198,Everlast Series White with Eye Dianthus,Dianthus,,Pinks,"This exceptional hybrid strain of Dianthus is a true multi-use plant. Plants are mid-sized, with upright stems of fragrant, flowers that have a contrasting bright pink, fringed edge. Blooms in spring, again in summer and once again in the fall.",4,-30°,,8-12”,10-14”,,,Spring; Summer; Fall,,,,"Attracts Butterflies, hummingbirds; Drought tolerant when established. Deadhead to prolong blooming.",8,,,,,
199,Kahori Dianthus,Dianthus,,Pinks,"Fragrant, semi-double rose pink flowers bloom above gray-green foliage. It has a compact upright habit. Clean and classic with lots of blooms.",4,-30°,,6-10”,6-12”,,,Spring - Summer,,,,"Attracts Butterflies, hummingbirds; Drought tolerant when established. Deadhead to prolong blooming.",8,,,,,
200,Kahori Pink Dianthus,Dianthus,,Pinks,"Fragrant, semi-double rose pink flowers bloom above gray-green foliage. It has a compact upright habit. Clean and classic with lots of blooms.",4,-30°,,8-12”,8-12”,,,Spring - Summer,,,,"Attracts Butterflies, hummingbirds; Drought tolerant when established. Deadhead to prolong blooming.",4.5,,,,,
201,Kahori Scarlet Dianthus,Dianthus,,Pinks,"Fragrant, semi-double rose pink flowers bloom above gray-green foliage. It has a compact upright habit. Clean and classic with lots of blooms.",4,-30°,,6-10”,6-12”,,,Spring - Summer,,,,"Attracts Butterflies, hummingbirds; Drought tolerant when established. Deadhead to prolong blooming.",8,,,,,
202,Scent First Coconut Surprise Dianthus,Dianthus,,Pinks,"Evergreen plants.Extremely large double, spicy fragrant flowers, 1-1 1/2 inches in diameter. Compact. Long bloom period. Deadhead to prolong blooming.",4,-30°,,8-12”,8-12”,,,Spring; Summer; Fall,,,,"Attracts Butterflies, hummingbirds; Drought tolerant when established. Deadhead to prolong blooming.",8,,,,,
203,Scent First Coral Reef Dianthus,Dianthus,,Pinks,"Evergreen plants.Extremely large double, spicy fragrant flowers, 1-1 1/2 inches in diameter. Compact. Long bloom period. Deadhead to prolong blooming.",4,-30°,,8-12”,9-18”,,,Spring; Summer; Fall,,,,"Attracts Butterflies, hummingbirds; Drought tolerant when established. Deadhead to prolong blooming.",8,,,,,
204,Scent First Passion (WP) Dianthus,Dianthus,,Pinks,"Evergreen plants.Extremely large double, spicy fragrant flowers, 1-1 1/2 inches in diameter. Compact. Long bloom period. Deadhead to prolong blooming.",4,-30°,,8-12”,8-12”,,,Spring; Summer; Fall,,,,"Attracts Butterflies, hummingbirds; Drought tolerant when established. Deadhead to prolong blooming.",8,,,,,
205,Scent First Raspberry Surprise (Devon Yolande) Dianthus,Dianthus,,Pinks,"Evergreen plants.Extremely large double, spicy fragrant flowers, 1-1 1/2 inches in diameter. Compact. Long bloom period. Deadhead to prolong blooming.",4,-30°,,8-12”,8-12”,,,Spring; Summer; Fall,,,,"Attracts Butterflies, hummingbirds; Drought tolerant when established. Deadhead to prolong blooming.",8,,,,,
206,Star Series Fire Star Dianthus,Dianthus,,Pinks,"Evergreen plants. Many are fragrant with gray to green foliage.Compact, long blooming plants that are hardy and heat tolerant.",4,-30°,,6-8”,6-10”,,,Spring - Summer,,,,"Attracts Butterflies, hummingbirds; Drought tolerant when established. Deadhead to prolong blooming.",4.5,,,,,
207,Star Series Neon Star Dianthus,Dianthus,,Pinks,"Evergreen plants. Many are fragrant with gray to green foliage.Compact, long blooming plants that are hardy and heat tolerant.",4,-30°,,6-8”,6-10”,,,Spring - Summer,,,,"Attracts Butterflies, hummingbirds; Drought tolerant when established. Deadhead to prolong blooming.",4.5,,,,,
208,Star Series Peppermint Star Dianthus,Dianthus,,Pinks,"Evergreen plants. Many are fragrant with gray to green foliage.Compact, long blooming plants that are hardy and heat tolerant.",4,-30°,,6-8”,6-10”,,,Spring - Summer,,,,"Attracts Butterflies, hummingbirds; Drought tolerant when established. Deadhead to prolong blooming.",4.5,,,,,
209,Star Series Pop Star (Devon Esther) Dianthus,Dianthus,,Pinks,"Evergreen plants. Many are fragrant with gray to green foliage.Compact, long blooming plants that are hardy and heat tolerant.",4,-30°,,6-8”,6-10”,,,Spring - Summer,,,,"Attracts Butterflies, hummingbirds; Drought tolerant when established. Deadhead to prolong blooming.",4.5,,,,,
210,Star Series Starlette Dianthus,Dianthus,,Pinks,"Evergreen plants. Many are fragrant with gray to green foliage.Compact, long blooming plants that are hardy and heat tolerant.",4,-30°,,6-8”,6-10”,,,Spring - Summer,,,,"Attracts Butterflies, hummingbirds; Drought tolerant when established. Deadhead to prolong blooming.",8,,,,,
211,Fire Witch (Feuerhexe) Dianthus,Dianthus gratianopolitanus,,Pinks,"Evergreen plants. Many are fragrant with gray to green foliage. Blooms in late spring early summer.Upward-facing blooms, which exude the scent of cloves, appear in masses above silvery-blue mats of evergreen foliage. If deadheaded, this species will flower heaviest in early summer and again in fall.",4,-30°,,6-10”,8-12”,,,Summer and Fall,,,,"Attracts Butterflies, hummingbirds; Drought tolerant when established. Deadhead to prolong blooming.",8,,,,,
212,Fire Witch (Feuerhexe) Dianthus,Dianthus gratianopolitanus,,Pinks,"Evergreen plants. Many are fragrant with gray to green foliage. Blooms in late spring early summer.Upward-facing blooms, which exude the scent of cloves, appear in masses above silvery-blue mats of evergreen foliage. If deadheaded, this species will flower heaviest in early summer and again in fall.",4,-30°,,6-10”,8-12”,,,Summer and Fall,,,,"Attracts Butterflies, hummingbirds; Drought tolerant when established. Deadhead to prolong blooming.",4.5,,,,,
213,Tiny Rubies Dianthus,Dianthus gratianopolitanus,,Pinks,"Evergreen plants. Many are fragrant with gray to green foliage. Blooms in late spring early summer.Upward-facing blooms, which exude the scent of cloves, appear in masses above silvery-blue mats of evergreen foliage. If deadheaded, this species will flower heaviest in early summer and again in fall.",4,-30°,,4-8”,10-12”,,,Summer and Fall,,,,"Attracts Butterflies, hummingbirds; Drought tolerant when established. Deadhead to prolong blooming.",8,,,,,
214,Tiny Rubies Dianthus,Dianthus gratianopolitanus,,Pinks,"Evergreen plants. Many are fragrant with gray to green foliage. Blooms in late spring early summer.Upward-facing blooms, which exude the scent of cloves, appear in masses above silvery-blue mats of evergreen foliage. If deadheaded, this species will flower heaviest in early summer and again in fall.",4,-30°,,4-8”,10-12”,,,Summer and Fall,,,,"Attracts Butterflies, hummingbirds; Drought tolerant when established. Deadhead to prolong blooming.",4.5,,,,,
215,Alba Old-Fashioned White Bleeding Heart,Dicentra spectabilis,,,Lovely shade garden plants with classic heart-shaped flowers with grayish-green foliage. Creates a soft delicate display that doesn t know when to stop blooming.,3,-40°,,24-30”,26-34”,,,Spring - Summer,,,,Deer Resistant; Attracts Butterflies,10,,,,,
216,Old-Fashioned Red Bleeding Heart,Dicentra spectabilis,,,Lovely shade garden plants with classic heart-shaped flowers with grayish-green foliage. Creates a soft delicate display that doesn t know when to stop blooming.,3,-40°,,24-36”,18-24”,,,Spring - Summer,,,,Deer Resistant; Attracts Butterflies,10,,,,,
217,Valentine Bleeding Heart,Dicentra spectabilis,,,Lovely shade garden plants with classic heart-shaped flowers with grayish-green foliage. Creates a soft delicate display that doesn t know when to stop blooming.,3,-40°,,24-30”,18-24”,,,Spring - Summer,,,,Deer Resistant; Attracts Butterflies,10,,,,,
218,Little Leo Leopard's Bane,Doronicum orientale,,,"Early blooming daisy that makes for a lovely combination with spring-blooming bulbs, especially brightly coloured tulips. Best in light shade, such as a woodland setting. Plants may go dormant during hot summer weather. Trim back by half after blooming, to prevent self seeding. Good choice for edging, or the rock garden.",4,-30°,,10-12”,10-12”,,,Spring - Summer,,,,Deer Resistant; drought tolerant when established,4.5,,,,,
219,Artisan Red Ombre Coneflower,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,4,-30°,,16-28”,10-25”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,9,,,,,
220,Artisan Soft Orange Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,4,-30°,,16-28”,10-25”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,9,,,,,
221,Cheyenne Spirit Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,4,-30°,,20-30”,14-24”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant,15,,,,,
222,Cone-fections Series Hot Papaya Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,4,-30°,,28-34”,18-24”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,12,,,,,
223,Double Decker Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,4,-30°,,36-40”,24-30”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,12,,,,,
224,Double Scoop Bubble Gum Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,4,-30°,,24-26”,16-22”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,12,,,,,
225,Double Scoop Lemon Cream Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,4,-30°,,22-24”,18-20”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,12,,,,,
226,Double Scoop Mandarin Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,4,-30°,,18-22”,18-22”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,12,,,,,
227,Double Scoop Orangeberry Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,4,-30°,,18-22”,18-22”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,12,,,,,
228,Double Scoop Raspberry Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,4,-30°,,28-30”,24-28”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,12,,,,,
229,Flame Thrower Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,4,-30°,,36-40”,24-30”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,12,,,,,
230,Green Jewel Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,3,-40°,,20-24”,18-24”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,12,,,,,
231,Green Twister Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,3,-40°,,20-36”,18-24”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,12,,,,,
232,Kismet Series Intense Orange Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,4,-30°,,12-16”,18-24”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,12,,,,,
233,Kismet Series Raspberry Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,4,-30°,,12-16”,18-24”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,12,,,,,
234,Kismet Series Red Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,4,-30°,,12-16”,18-24”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,12,,,,,
235,Kismet Series White Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,4,-30°,,12-16”,18-24”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,12,,,,,
236,Kismet Series Yellow Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,4,-30°,,12-16”,18-24”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,12,,,,,
237,Magnus Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,3,-40°,,30-40”,18-24”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,12,,,,,
